Constraint	Constraint	constrains@property
Root	Root	Abundance
Rhizosphere	Rhizosphere	Abundance
Leaf	Leaf	Abundance
PhenologyStage	PhenologyStage	SpeciesPresence
LabSampled	LabSampled	SpeciesPresence
FieldSampled	FieldSampled	SpeciesPresence
