VariableSet	VariableSet
BioagressorPresence	BioagressorPresence
Biomass	Biomass
Climatic	Climatic
Nirs	Nirs
PlantPhenotype	PlantPhenotype
SoilBiochemistry	SoilBiochemistry
Weed	Weed
Yields	Yields
